API Name;Label;Descripción;Origen;Session-based;Licencia;Usuarios asignados (nº);Perfiles de los asignados (únicos);En grupo (cuál);Qué otorga (resumen);Asignaciones de bypass sin expiración (nº);Última modificación;Veredicto;Justificación
PS_OmniChannel_Ventas;PS_OmniChannel_Ventas;;Local;No;;9;System Administrator | Agente BDC / AVO;-;VACIA (0 concesiones);-;2026-04-15;REVISAR (vacía asignada);VACIA (0 concesiones) pero asignada a 9 usuarios (incl. 3 Agente BDC/AVO). Hoy no otorga NADA: darle el contenido previsto (¿presence/Omni-Channel?) o eliminarla con sus assignments.
Interest_Tags_Management;Interest Tags Management;;Local;No;;4;System Administrator;-;userPerms: AssignTopics, CreateTopics, DeleteTopics;-;2026-04-28;MANTENER;"4 userPerms de tags; asignada a 4 admins del equipo."
NextGen_1bYWK000003HCCj2AO_Permissions;Permissoes agente Agentforce Sales_Concierge_GrupoQ;Auto-generada Agentforce;Local;No;;0;-;-;VACIA (0 concesiones);-;2026-04-29;MANTENER (auto-generada);Auto-generada por Agentforce (agente Sales_Concierge_GrupoQ). Eliminarla puede romper el agente.
UseSalesManagementAgent;Use Sales Management Agent;Acceso al Sales Management agent;Local;No;;0;-;SalesManagementUserPsg + SalesManagementAgentUserPsg (grupos de producto);VACIA (0 concesiones);-;2026-05-07;MANTENER;"agentAccesses; compone los grupos SalesManagement*Psg usados por el agente (Einstein Agent User)."
Sales_Workspace_Data_Governance_Permission_Set;Sales Workspace Data Governance;Data Cloud governance;Local;No;;0;-;-;customPerm: Sales_Workspace_Data_Governance_Permission;-;2026-05-07;MANTENER;Custom permission de Data Cloud governance (feature).
LoggerAdmin;Nebula Logger: Admin;lib Nebula Logger;Local;No;;2;System Administrator;-;No en retrieve Q4 (posible origen paquete);-;2026-05-18;MANTENER (librería);Nebula Logger en uso (Diego, Davi asignados).
LoggerEndUser;Nebula Logger: End User;lib Nebula Logger;Local;No;;0;-;-;No en retrieve Q4 (posible origen paquete);-;2026-05-18;MANTENER (librería);"Parte de Nebula Logger; 0 assignments hoy (se asigna cuando haya usuarios finales)."
LoggerLogCreator;Nebula Logger: Log Creator;lib Nebula Logger;Local;No;;2;System Administrator;-;No en retrieve Q4 (posible origen paquete);-;2026-05-18;MANTENER (librería);En uso (Diego, Davi).
LoggerLogViewer;Nebula Logger: Log Viewer;lib Nebula Logger;Local;No;;0;-;-;No en retrieve Q4 (posible origen paquete);-;2026-05-18;MANTENER (librería);"Parte de Nebula Logger; 0 assignments hoy."
AccessDevOpsCenterNamedCredentials;Access DevOps Center Named Credentials;;Local;No;;2;System Administrator;-;VACIA (0 concesiones);-;2026-05-21;MANTENER;"DevOps Center (external credential); en uso (Diego, Davi)."
PS_Base_Sales_GrupoQ;PS_Base_Sales_GrupoQ;Permisos base proceso de ventas;Local;No;;9;Gerente de Ventas / Gerente de Marca | System Administrator | Minimum Access - Salesforce | Agente BDC / AVO | Vendedor de Repuestos;-;"15 objetos (Account, Asset, Contact, InternalOrganizationUnit...); 21 campos";-;2026-07-09;MANTENER;Persona base en uso real: gerentes, BDC/AVO, Vendedor de Repuestos, Automotive API. hasActivationRequired=false OK.
Automotive_Cloud_API_Account_Case_CRUD;Automotive Cloud API Account Case CRUD;REST API Account/Case;Local;No;;0;-;-;"3 objetos (Account, Case, Contact); 51 campos; userPerms: ExternalClientAppAdmin, ExternalClientAppViewer";-;2026-06-17;REVISAR;0 assignments. Creada para integracion REST (jun/2026) pero nadie la tiene: asignarla al integration user correspondiente o eliminarla. Nota: ViewAll Account/Case.
PS_Api;PS_Api;;Local;No;;2;Minimum Access - Salesforce | System Administrator;-;"10 objetos (Account, BusinessProfile, Campaign, Contact...); 79 campos; userPerms: ApiEnabled";-;2026-06-23;MANTENER con ALERTA;"Integracion (ApiEnabled, CRUDAV amplio). OK en Automotive API; ALERTA: Vitor Sandy (humano) la tiene - retirar del humano (admins ya tienen todo)."
PS_Data_Steward;PS Data Steward;MDM merge nativo;Local;No;;0;-;-;2 objetos (Account, Contact);-;2026-06-24;MANTENER;0 assignments POR DISENO (la propia descripcion: asignacion es decision de negocio MDM).
PS_Lead_Dup_Bypass;PS Lead Dup Bypass;;Local;No;;1;Minimum Access - Salesforce;-;customPerm: BypassLeadDupGovernance;1;2026-06-24;MANTENER (bypass);Bypass en Automotive API sin ExpirationDate: ACEPTABLE por diseno (integration user permanente). Documentado como excepcion.
GQ_Lead_Repuestos_FLS;GQ Lead Repuestos FLS;;Local;No;;1;System Administrator;-;4 campos;-;2026-06-25;REVISAR (consolidar);Solo Santiago (admin, redundante). Consolidar los 4 campos dentro de VendedorRepuestos y eliminar.
PS_Lead_SLA_Fields;PS Lead SLA Fields;;Local;No;;3;System Administrator;-;4 campos;-;2026-06-25;REVISAR (consolidar);Asignada solo a 3 admins (redundante - admin ya ve todo). Consolidar con HU010_Campos_SLA_Lead en un unico PS de SLA asignado a las personas reales.
PS_Set_Audit_Fields;PS Set Audit Fields;;Local;No;;1;System Administrator;-;userPerms: CreateAuditFields;1;2026-06-30;MANTENER con ALERTA;Set Audit Fields (privilegio sensible) en Diego SIN ExpirationDate. Debe ser temporal: poner fecha o retirar tras la carga.
Lead_Country_Access;Lead Country Access;R/E Lead.Country__c (HU Country);Local;No;;0;-;-;1 campos;-;2026-07-02;CANDIDATA A ELIMINAR (consolidar);0 assignments y 1 solo campo. Consolidar Lead.Country__c en PS_Base_Sales_GrupoQ y eliminar.
VendedorRepuestos;Vendedor Repuestos;Persona venta repuestos y PA;Local;No;;2;System Administrator | Vendedor de Repuestos;-;49 campos;-;2026-07-10;MANTENER;Persona en uso (Sales Repuestos / perfil Vendedor de Repuestos). Absorber GQ_Lead_Repuestos_FLS.
PS_BypassLeadLifecycle;PS Bypass Lead Lifecycle;Bypass transiciones Lead;Local;No;;1;System Administrator;-;customPerm: BypassLeadLifecycle;1;2026-07-04;MANTENER (bypass) con RIESGO;Bypass en HUMANO (Santiago Pelaez) SIN ExpirationDate = riesgo real de la spec. Poner expiracion o migrar al integration user.
MDGAprobadorLectura;MDG Aprobador - Lectura Datos Sensibles;Aprobador MDG (READ);Local;No;;1;System Administrator;-;"2 objetos (Account, Contact); 11 campos";-;2026-07-07;MANTENER;Aprobador MDG (Wilmar). Overlap con PS_Data_Steward es de objetos, no de CRUD (R vs RUD): papeles distintos.
PS_Bypass_Gates_Automacao;PS Bypass Gates Automação;Bypass gates HU-016;Local;No;;1;Minimum Access - Salesforce;-;customPerm: Bypass_Gates_Automacao;1;2026-07-06;MANTENER (bypass);Bypass en Automotive API sin expiracion: ACEPTABLE por diseno (HU-016). Documentado como excepcion.
HU010_Campos_SLA_Lead;HU-010 Campos SLA Lead;;Local;No;;0;-;-;2 campos;-;2026-07-07;CANDIDATA A ELIMINAR (consolidar);"0 assignments; 2 campos del mismo tema que PS_Lead_SLA_Fields. Fusionar y eliminar."
SparePartsSupervisor;Spare Parts Supervisor;Supervisor repuestos;Local;No;;0;-;-;customPerm: InvoiceCasualCustomer;-;2026-07-09;MANTENER;"Custom permission InvoiceCasualCustomer (gate facturacion ocasional HU-014). Recien creada (09/07); asignar al supervisor real."
cases_Permisssion_Set;cases_Permisssion_Set;;Local;No;;2;System Administrator;-;userPerms: GiveRecognitionBadge;-;2025-12-16;CANDIDATA A ELIMINAR;Herencia del org pooled (dic/2025, Juan Juarez/Pooled Org Admin - fuera del proyecto), typo en el nombre, 1 userPerm suelta.
sfdcInternalInt__sfdc_a360;Customer 360 Data Platform Integration;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;"6 objetos (Account, Campaign, Case, Contact...); 1 campos; userPerms: ActivitiesAccess, ViewAllActivities";-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_a360_sfcrm_data_extract;Data Cloud Salesforce Connector;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;"939 objetos (AIInsightReason, AIRecordInsight, AITrustAttribute, AbnExperimentDef...); userPerms: ActivitiesAccess, PersonalizationPlatform, ViewAllActivities";-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_activityplatform;sfdc.activityplatform;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;"6 objetos (ActionCadence, ActionCadenceStep, ActionCadenceStepTracker, ActionCadenceTracker...); userPerms: ActivitiesAccess, AutomaticActivityCapture, HighVelocitySalesUser";-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_articlerecommendations;Article Recommendations;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;"22 objetos (AIInsightReason, AIRecordInsight, Account, Asset...); 37 campos; userPerms: ActivitiesAccess, AllowViewKnowledge, ApiEnabled";-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_chatbot;Chatbot;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;"3 objetos (Knowledge__kav, LiveChatTranscript, LiveChatVisitor); 40 campos; userPerms: AllowViewKnowledge, EditKnowledge, ViewArchivedArticles";-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_fieldservice;Field Service Integration;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;VACIA (0 concesiones);-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_nc_constraints_engine_deploy;Constraint Rules Engine Licenseless permission set;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;VACIA (0 concesiones);-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdcInternalInt__sfdc_scrt2;SCRT2 Integration User;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;1 objetos (Case);-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
sfdc_aiplanner_service_permset;sfdc.aiplanner.service.permset;;Managed (plataforma);Sí;Cloud Integration User;1;Platform Integration User;-;userPerms: ApexRestServices, ApiEnabled, ViewRoles;-;-;MANTENER (producto);"PS interno de la plataforma (Platform Integration User); no tocar."
(~200 PSs estándar/producto restantes);namespace force / IsCustom=false;-;Estándar/Producto;-;varias;n/a;n/a;22 PSGs de producto (SalesUsers, GeneralUsers, etc.);features de licencia;-;-;MANTENER (producto);Regla producto -> MANTENER. Detalle completo = exports Q1/Q2.
