Name,ProductCode,Family,MakeName,BusinessBrandId,IsActive
Accent Sedan Limited 1.500 cc Gas T/A 2WD,0YS4D661V D D394 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Accent Sedan Sport Plus 1.500 cc Gas T/A 2WD,0YS4D661V D D571 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Accent Sedan Limited Plus 1.500 cc Gas T/A 2WD,0YS4D661V D D572 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Accent Sedan Fun 1.500 cc Gas T/A 2WD,0YS4D661V D D720 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Accent Sedan Limited Plus 1.500 cc Gas T/A 2WD,0YS4D661V D D743 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
COLORADO LTZ D/C 2.8L 4X4 T/A DSL,12L43-D 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
COLORADO LTZ D/C 2.8L 4X4 T/A DSL,12L43-D 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
COLORADO Z71 D/C 2.8L 4X4 T/A DSL,12L43-E 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
COLORADO HC D/C 2.8L 4X4 T/A DSL,12L43-G 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
COLORADO HC D/C 2.8L 4X4 T/A DSL,12L43-G 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAILBLAZER HC 2.8L 4X4 T/A DSL,12S26-G 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRAILBLAZER HC 2.8L 4X4 T/A DSL,12S26-G 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
SPARK EUV 4X2 T/A ELECTRICO,1E426-A 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
SPARK EUV DT 4X2 T/A ELECTRICO,1E426-B 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRACKER LT 1.2L T/A GAS TURBO,1EH76-C 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRACKER RS 1.2L T/A GAS TURBO,1EH76-R 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRACKER PREMIER 1.2L T/A GAS TURBO,1EJ76-D 2025,Autos,Chevrolet,1BUWK0000009EF64AM,true
TRACKER PREMIER 1.2L T/A GAS TURBO,1EJ76-D 2026,Autos,Chevrolet,1BUWK0000009EF64AM,true
Kona Gasolina Sport 2.000 cc Gas T/A 2WD,1EW52J61V D D466 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Sport Plus 2.000 cc Gas T/A 2WD,1EW52J61V D D579 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Sport Plus 2.000 cc Gas T/A 2WD,1EW52J61V D D579 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Tour 2.000 cc Gas T/A 2WD,1EW52J61V D D591 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Turbo Limited 1.600 cc Gas T/A 4WD,1EW5D5G1K D D467 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Turbo Tour 1.600 cc Gas T/A 4WD,1EW5D5G1K D D468. 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Turbo Limited 1.600 cc Gas T/A 4WD,1EW5D5G1K D D690. 2026,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Gasolina Turbo Tour Plus 1.600 cc Gas T/A 4WD,1EW5D5G1K D D691. 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Electrico TEDR 150 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D106 2024,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Electrico Prestige 150 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D123 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Electrico Elegant 99 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D137 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Electrico Prestige 150 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D202 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Electrico Elegant 99 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D232 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
Kona Electrico Prestige 150 KW EV T/A SBW 2WD,1FW5ZHZ7Z D D259 2025,Autos,Hyundai,1BUWK0000009EFE4A2,true
