ProductCode,UnitPrice,PrecioMinimoAsesor__c,PrecioExonerado__c,PrecioExoneradoMinimo__c,Gastos__c,MontoCashback__c,AplicaCashback__c
0YS4D661V D D394 2025,31400.0,26900.0,21700.0,17900.0,1600.0,3000.0,false
0YS4D661V D D571 2025,30400.0,24400.0,21300.0,16800.0,1600.0,4500.0,false
0YS4D661V D D572 2025,33400.0,28900.0,23100.0,19200.0,1600.0,3000.0,false
0YS4D661V D D720 2026,30400.0,27400.0,20600.0,17500.0,2000.0,3000.0,false
0YS4D661V D D743 2026,34400.0,30900.0,23700.0,20100.0,1600.0,3000.0,false
12L43-D 2025,62900.0,54700.0,41337.5,62400.0,1900.0,,false
12L43-D 2026,63500.0,58400.0,41688.75,63000.0,1900.0,,false
12L43-E 2026,59900.0,54800.0,39626.25,59400.0,1800.0,,false
12L43-G 2025,65900.0,57700.0,43478.75,65400.0,2100.0,,false
12L43-G 2026,65900.0,60800.0,43848.75,65400.0,2100.0,,false
12S26-G 2025,67900.0,59800.0,43805.0,67400.0,2100.0,,false
12S26-G 2026,68900.0,64800.0,44602.5,68400.0,2100.0,,false
1E426-A 2026,27900.0,27500.0,27900.0,25800.0,800.0,,false
1E426-B 2026,27900.0,27500.0,27900.0,25800.0,800.0,,false
1EH76-C 2026,28900.0,27100.0,20990.0,28900.0,900.0,,false
1EH76-R 2025,33900.0,28800.0,21027.5,33400.0,900.0,,false
1EJ76-D 2025,35500.0,28900.0,22555.0,35000.0,1000.0,,false
1EJ76-D 2026,32500.0,31000.0,22768.0,32500.0,1000.0,,false
1EW52J61V D D466 2025,38400.0,31830.0,26970.0,24070.0,1800.0,4000.0,false
1EW52J61V D D579 2025,39400.0,32830.0,27570.0,23670.0,1800.0,5000.0,false
1EW52J61V D D579 2026,40400.0,33830.0,28270.0,23870.0,1800.0,5000.0,false
1EW52J61V D D591 2025,35400.0,31830.0,24370.0,21270.0,1800.0,3000.0,false
1EW5D5G1K D D467 2025,45600.0,42030.0,31370.0,27870.0,2000.0,3000.0,false
1EW5D5G1K D D468. 2025,42500.0,34930.0,29670.0,27770.0,1900.0,5000.0,false
1EW5D5G1K D D690. 2026,48600.0,45030.0,33670.0,30170.0,2000.0,3000.0,false
1EW5D5G1K D D691. 2025,43500.0,35930.0,30470.0,28170.0,1900.0,5000.0,false
1FW5ZHZ7Z D D106 2024,57200.0,41100.0,57200.0,41100.0,2800.0,16100.0,false
1FW5ZHZ7Z D D123 2025,59100.0,50100.0,59100.0,50100.0,2800.0,9000.0,false
1FW5ZHZ7Z D D137 2025,48800.0,37800.0,48800.0,38800.0,2500.0,10000.0,false
1FW5ZHZ7Z D D202 2025,59100.0,50100.0,59100.0,50100.0,2800.0,9000.0,false
1FW5ZHZ7Z D D232 2025,48800.0,37800.0,48800.0,38800.0,2500.0,10000.0,false
1FW5ZHZ7Z D D259 2025,59100.0,50100.0,59100.0,50100.0,2600.0,9000.0,false
1FW5ZHZ7Z D D259 2026,59100.0,55100.0,59100.0,55100.0,2600.0,4000.0,false
1HH26AC-B 2025,22500.0,18000.0,17256.64,19940.74,600.0,,false
1HH26AC-B 2026,22500.0,19400.0,13355.0,22000.0,600.0,,false
1LB56-D 2025,84500.0,79400.0,55216.3,84000.0,2500.0,,false
1LB56-D 2026,86500.0,83400.0,56233.0,86067.0,2500.0,,false
1NR26-D 2023,67900.0,54800.0,48658.4,67400.0,1900.0,,false
1NS26-G 2024,74900.0,59800.0,49034.34,74400.0,2100.0,,false
1SD26-B 2025,37900.0,31000.0,22092.5,37400.0,1000.0,,false
1SD26-B 2026,37900.0,33800.0,20210.0,37690.0,1000.0,,false
1SE26-C 2025,42000.0,35900.0,25598.75,41500.0,1200.0,,false
1TU58-B 2024,41500.0,33400.0,27431.75,41000.0,1100.0,,false
1TU58-B 2025,38900.0,32800.0,25463.75,38400.0,1100.0,,false
1TU58-C 2025,44500.0,34500.0,29500.0,42500.0,1200.0,,false
1TU58-C 2026,41500.0,38400.0,27479.0,41021.0,1200.0,,false
1VC26-A 2026,23900.0,22100.0,17239.0,23400.0,650.0,,false
1VC26-B 2026,24900.0,23100.0,17495.0,24400.0,700.0,,false
1VD26-C 2026,26900.0,25100.0,18941.25,26400.0,800.0,,false
1VD48-C 2026,24500.0,20400.0,15336.0,24500.0,700.0,,false
1XE26-E 2025,27900.0,21000.0,16629.0,27400.0,700.0,,false
1XT26-F 2025,29900.0,23500.0,18053.0,29400.0,800.0,,false
1YC07-A 2026,192900.0,188800.0,119228.0,192400.0,7000.0,,false
1YC67-B 2026,199900.0,195800.0,125643.0,199400.0,7200.0,,false
6HW7L9A1K D D211 2026,67850.0,63050.0,46800.0,42000.0,3150.0,4000.0,false
6HW7L9A1K D D217 2026,60750.0,55950.0,41600.0,37200.0,3050.0,4000.0,false
6K10706-A 2026,195900.0,190800.0,123812.0,195088.0,5100.0,,false
6K10706-B 2024,183900.0,162900.0,122900.0,178400.0,5200.0,,false
6K10706-B 2025,193900.0,180000.0,80500.0,190800.0,5100.0,,false
6K10706-L 2026,195900.0,190800.0,123810.0,195400.0,5100.0,,false
6K10906-A 2026,199900.0,194800.0,126972.0,198928.0,5300.0,,false
6K10906-B 2025,198900.0,193800.0,82000.0,186550.0,5300.0,,false
6MC26-F 2025,105000.0,96000.0,105000.0,96000.0,3500.0,,false
6MD26-V 2026,160000.0,151900.0,160000.0,151900.0,4500.0,,false
6NJ26-F 2024,79900.0,68900.0,53500.0,76800.0,2300.0,,false
6ZE26-F 2024,73900.0,63900.0,49800.0,71900.0,2200.0,,false
