Name,ProductId,ModelCode,EngineCubicCapacity
Accent Sedan Limited 1.500 cc Gas T/A 2WD 2025,01tWK00000G1IhdYAF,0YS4D661V D D394,1.500 cc
Accent Sedan Sport Plus 1.500 cc Gas T/A 2WD 2025,01tWK00000G1IheYAF,0YS4D661V D D571,1.500 cc
Accent Sedan Limited Plus 1.500 cc Gas T/A 2WD 2025,01tWK00000G1IhfYAF,0YS4D661V D D572,1.500 cc
Accent Sedan Fun 1.500 cc Gas T/A 2WD 2026,01tWK00000G1IhgYAF,0YS4D661V D D720,1.500 cc
Accent Sedan Limited Plus 1.500 cc Gas T/A 2WD 2026,01tWK00000G1IhhYAF,0YS4D661V D D743,1.500 cc
COLORADO LTZ D/C 2.8L 4X4 T/A DSL 2025,01tWK00000G1IhiYAF,12L43-D,2.8L
COLORADO LTZ D/C 2.8L 4X4 T/A DSL 2026,01tWK00000G1IhjYAF,12L43-D,2.8L
COLORADO Z71 D/C 2.8L 4X4 T/A DSL 2026,01tWK00000G1IhkYAF,12L43-E,2.8L
COLORADO HC D/C 2.8L 4X4 T/A DSL 2025,01tWK00000G1IhlYAF,12L43-G,2.8L
COLORADO HC D/C 2.8L 4X4 T/A DSL 2026,01tWK00000G1IhmYAF,12L43-G,2.8L
TRAILBLAZER HC 2.8L 4X4 T/A DSL 2025,01tWK00000G1IhnYAF,12S26-G,2.8L
TRAILBLAZER HC 2.8L 4X4 T/A DSL 2026,01tWK00000G1IhoYAF,12S26-G,2.8L
SPARK EUV 4X2 T/A ELECTRICO 2026,01tWK00000G1IhpYAF,1E426-A,
SPARK EUV DT 4X2 T/A ELECTRICO 2026,01tWK00000G1IhqYAF,1E426-B,
TRACKER LT 1.2L T/A GAS TURBO 2026,01tWK00000G1IhrYAF,1EH76-C,1.2L
TRACKER RS 1.2L T/A GAS TURBO 2025,01tWK00000G1IhsYAF,1EH76-R,1.2L
TRACKER PREMIER 1.2L T/A GAS TURBO 2025,01tWK00000G1IhtYAF,1EJ76-D,1.2L
TRACKER PREMIER 1.2L T/A GAS TURBO 2026,01tWK00000G1IhuYAF,1EJ76-D,1.2L
Kona Gasolina Sport 2.000 cc Gas T/A 2WD 2025,01tWK00000G1IhvYAF,1EW52J61V D D466,2.000 cc
Kona Gasolina Sport Plus 2.000 cc Gas T/A 2WD 2025,01tWK00000G1IhwYAF,1EW52J61V D D579,2.000 cc
Kona Gasolina Sport Plus 2.000 cc Gas T/A 2WD 2026,01tWK00000G1IhxYAF,1EW52J61V D D579,2.000 cc
Kona Gasolina Tour 2.000 cc Gas T/A 2WD 2025,01tWK00000G1IhyYAF,1EW52J61V D D591,2.000 cc
Kona Gasolina Turbo Limited 1.600 cc Gas T/A 4WD 2025,01tWK00000G1IhzYAF,1EW5D5G1K D D467,1.600 cc
Kona Gasolina Turbo Tour 1.600 cc Gas T/A 4WD 2025,01tWK00000G1Ii0YAF,1EW5D5G1K D D468.,1.600 cc
Kona Gasolina Turbo Limited 1.600 cc Gas T/A 4WD 2026,01tWK00000G1Ii1YAF,1EW5D5G1K D D690.,1.600 cc
Kona Gasolina Turbo Tour Plus 1.600 cc Gas T/A 4WD 2025,01tWK00000G1Ii2YAF,1EW5D5G1K D D691.,1.600 cc
