Name,DurationType,EstimatedDuration,ShouldAutoCreateSvcAppt,FSL__Exact_Appointments__c,MacroCategory__c,Product__c,SubCategory__c,Criticality__c,RootCase__c,Skill__c
Instalação,Hours,2,false,false,Instalacao,,,,,
Reparo - Banda Larga - Crítica,Hours,2,false,false,Reparo,BandaLarga,,Critica,,
Reparo - Banda Larga - Alta,Hours,2,false,false,Reparo,BandaLarga,,Alta,,
Manutenção - Banda Larga - Baixa,Hours,2,false,false,Manutencao,BandaLarga,,Baixa,,
Manutenção - Banda Larga - Média,Hours,2,false,false,Manutencao,BandaLarga,,Media,,
Preventiva - Banda Larga - Média,Hours,2,false,false,Preventiva,BandaLarga,,Media,,
Visita Técnica,Hours,1,false,false,Preventiva,BandaLarga,,Baixa,,
Reparo - TV - Alta,Hours,2,false,false,Reparo,TV,,Alta,,
Reparo - TV - Média,Hours,2,false,false,Reparo,TV,,Media,,
Reparo - Telefone Fixa - Crítica,Hours,3,false,false,Reparo,TelefoniaFixa,,Critica,,
Reparo - Telefone Fixa - Alta,Hours,2,false,false,Reparo,TelefoniaFixa,,Alta,,
Reparo - Câmera - Alta,Hours,2,false,false,Reparo,Camera,,Alta,,
Reparo - Câmera - Média,Hours,2,false,false,Reparo,Camera,,Media,,
Reparo - CFTV - Alta,Hours,2,false,false,Reparo,CFTV,,Alta,,
Reparo Corporativo - Dados - Crítica,Hours,2,false,false,ReparoCorporativo,Dados,,Critica,,
Reparo Corporativo - Dados - Alta,Hours,2,false,false,ReparoCorporativo,Dados,,Alta,,
Manutenção Corporativo - Dados - Alta,Hours,2,false,false,ManutencaoCorporativo,Dados,,Alta,,
Manutenção Corporativo - Dados - Crítica,Hours,2,false,false,ManutencaoCorporativo,Dados,,Critica,,
Reparo Corporativo -BandaLarga - Critica,Hours,2,false,false,ReparoCorporativo,BandaLarga,SemSinal,Critica,LOS (00),
Reparo Corporativo -BandaLarga - Alta,Hours,2,false,false,ReparoCorporativo,BandaLarga,SemSinal,Alta,LOS (00),
Manutenção Corporativo -BandaLarga - Critica,Hours,2,false,false,ManutencaoCorporativo,BandaLarga,SemSinal,Critica,LOS (00),
Manutenção Corporativo -BandaLarga - Alta,Hours,2,false,false,ManutencaoCorporativo,BandaLarga,SemSinal,Alta,LOS (00),
Reparo Corporativo -TV - Critica,Hours,2,false,false,ReparoCorporativo,TV,SemSinal,Critica,LOS (00),
Reparo Corporativo -TV - Alta,Hours,2,false,false,ReparoCorporativo,TV,SemSinal,Alta,LOS (00),
Manutenção Corporativo -TV - Critica,Hours,2,false,false,ManutencaoCorporativo,TV,SemSinal,Critica,LOS (00),
Manutenção Corporativo -TV - Alta,Hours,2,false,false,ManutencaoCorporativo,TV,SemSinal,Alta,LOS (00),
Reparo Corporativo -TelefoniaFixa - Critica,Hours,2,false,false,ReparoCorporativo,TelefoniaFixa,SemSinal,Critica,LOS (00),
Reparo Corporativo -TelefoniaFixa - Alta,Hours,2,false,false,ReparoCorporativo,TelefoniaFixa,SemSinal,Alta,LOS (00),
Manutenção Corporativo -TelefoniaFixa - Critica,Hours,2,false,false,ManutencaoCorporativo,TelefoniaFixa,SemSinal,Critica,LOS (00),
Manutenção Corporativo -TelefoniaFixa - Alta,Hours,2,false,false,ManutencaoCorporativo,TelefoniaFixa,SemSinal,Alta,LOS (00),
Reparo Corporativo -Camera - Critica,Hours,2,false,false,ReparoCorporativo,Camera,SemSinal,Critica,LOS (00),
Reparo Corporativo -Camera - Alta,Hours,2,false,false,ReparoCorporativo,Camera,SemSinal,Alta,LOS (00),
Manutenção Corporativo -Camera - Critica,Hours,2,false,false,ManutencaoCorporativo,Camera,SemSinal,Critica,LOS (00),
Manutenção Corporativo -Camera - Alta,Hours,2,false,false,ManutencaoCorporativo,Camera,SemSinal,Alta,LOS (00),
Reparo Corporativo -CFTV - Critica,Hours,2,false,false,ReparoCorporativo,CFTV,SemSinal,Critica,LOS (00),
Reparo Corporativo -CFTV - Alta,Hours,2,false,false,ReparoCorporativo,CFTV,SemSinal,Alta,LOS (00),
Manutenção Corporativo -CFTV - Critica,Hours,2,false,false,ManutencaoCorporativo,CFTV,SemSinal,Critica,LOS (00),
Manutenção Corporativo -CFTV - Alta,Hours,2,false,false,ManutencaoCorporativo,CFTV,SemSinal,Alta,LOS (00),
Atendimento N3,Hours,2,false,false,Instalacao,,SemSinal,Critica,LOS (00),
Reparo - TV - Alta - 1 Hora,Hours,1,false,false,Reparo,TV,SemSinal,Alta,LOS (00),
Reparo - TV - Média - 1 Hora,Hours,1,false,false,Reparo,TV,SemSinal,Media,LOS (00),
Reparo - Telefone Fixa - Crítica - 1 Hora,Hours,1,false,false,Reparo,TelefoniaFixa,SemSinal,Critica,LOS (00),
Reparo - Câmera - Média - 1 Hora,Hours,1,false,false,Reparo,Camera,SemSinal,Media,LOS (00),
Reparo - CFTV - Alta - 1 Hora,Hours,1,false,false,Reparo,CFTV,SemSinal,Alta,LOS (00),
Reparo - Telefonia - Alta - 2 Horas,Hours,2,false,false,Reparo,Telefonia,,Alta,,
Serviço - Banda Larga - Aferição Velocidade,Hours,1,false,false,Servico,BandaLarga,,Alta,Atividade de Verificação (28),Indoor
Serviço - Câmera - Alta,Hours,1,false,false,Servico,Camera,,Alta,LOS (00),Indoor
Preventiva - Banda Larga - Média,Hours,1,false,false,Preventiva,BandaLarga,,Media,,
Preventiva - Banda Larga - Alta,Hours,1,false,false,Preventiva,BandaLarga,,Alta,,
