Id,Sociedad__c,AccountNumber
001WK00002EjOWYYA3,,
001WK00002EjOWZYA3,,
001WK00002LhiS5YAJ,,
001WK00002EjOWaYAN,C101,C101
001WK00002EjOWbYAN,C105,C105
001WK00002Lhj1ZYAR,N105,N105
001WK00002EjOWgYAN,C101,
001WK00002EjOWjYAN,C101,
001WK00002EjOWcYAN,C101,
001WK00002MtyKZYAZ,C101,
001WK00002EjOWdYAN,C101,
001WK00002EjOWfYAN,C101,
001WK00002EjOWkYAN,C101,
001WK00002EjOWeYAN,C101,
001WK00002EjOWiYAN,C101,
001WK00002EjOWhYAN,C101,
001WK00002EjOWtYAN,C105,
001WK00002EjOWrYAN,C105,
001WK00002EjOWlYAN,C105,
001WK00002EjOWpYAN,C105,
001WK00002EjOWqYAN,C105,
001WK00002EjOWmYAN,C105,
001WK00002EjOWnYAN,C105,
001WK00002EjOWoYAN,C105,
001WK00002EjOWuYAN,C105,
001WK00002EjOWsYAN,C105,
001WK00002EjOWvYAN,C105,
001WK00002LhjzFYAR,N105,
