Sociedad;Sucursal_QRM;Centro_SAP_WERKS;Almacen_SAP_LGORT;Codigo_Composto;Ubicacion
C101;La Uruca;C011;1200;C0111200;Frente a la plaza de deportes Uruca, San José
C101;Liberia;C011;1209;C0111209;"Diagonal al Hotel ""El Sitio"""
C101;San Carlos;C011;1211;C0111211;600 Norte del Hospital San Carlos, Ciudad Quesada
C101;Lindora;C011;1210;C0111210;Pozos de Santa Ana, Radial Lindora- Belén Contiguo a Porcerámica
C101;Ayarco;C011;1223;C0111223;Curridabat, Lomas de Ayarco, 150 metros este de Gasolinera Ayarco
C101;Santa Ana Comercial;C011;1210;C0111210;Pozos de Santa Ana, contiguo a Porcerámica
C101;Uruca Usados;C817;;C817;
C101;Uruca Flotas;C011;1200;C0111200;Frente Plaza de Deportes Uruca
C101;Guapiles;C011;1273;C0111273;500 m este de la Estación de Servicio Santa Clara
C101;Perez Zeledon;C011;1272;C0111272;Contiguo a Gasolinera el Jorón, Perez Zeledón.
C105;Active Motors Sucursal Central;C311;1200;C3111200;Contiguo a edificio FEMSA, La Uruca, San José, Costa Rica
C105;Forland Liberia;C211;1201;C2111201;"Diagonal al Hotel ""El Sitio"""
C105;Forland Pérez Zeledón;C211;1202;C2111202;Carretera a Palmares, continuo a Estación de servicio el Jorón. Perez Zeledón.
C105;Forland San Carlos;C211;1203;C2111203;600m al norte del Hospital de San Carlos, Ciudad Quesada
C105;Forland Guápiles;C211;1204;C2111204;500m este del Servicentro Santa Clara
C105;Multirepuestos Prado Castro;C211;1232;C2111232;140 metros este del Salón Parroquial barrio San Martín, Buenos Aires
C105;Forland La Uruca Sucursal Central;C311;1200;C3111200;
C105;Autopits Alajuela;C211;1252;C2111252;Alajuela centro, contiguo Plaza Ferias
C105;Autopits Santa Ana;C211;1250;C2111250;Santa Ana, Pozos, Radial Belén, contiguo a Hyundai Lindora.
C105;Autopis Cariari;C211;1251;C2111251;80 metros este del Real Cariari, frente a la bomba UNO
C105;Autopits Cartago;C211;1253;C2111253;Diagonal al Cementerio General
C105;Autopits Desamparados;C211;1254;C2111254;Diagonal a Pizza Hut, CC Decosure
C105;Autopits San Pedro;C211;1255;C2111255;
C105;Autopits Sabana;C211;1256;C2111256;Sabana, a un costado de Soda Tapia
C105;Autopits Moravia;C211;1257;C2111257;
C105;Autopits Heredia;C211;1258;C2111258;Heredia 100 metros oeste y 100 metros sur de la estación Shell Pirro.
C105;Autopits Pinares;C211;1259;C2111259;
C105;Autopits Uruca;C211;1260;C2111260;
C105;Autopits Escazu;C211;1261;C2111261;
C105;Autopits Guadalupe;C211;1262;C2111262;
C105;Autopits Guápiles;C211;1263;C2111263;
